topLevelReelUrl,shareable_url,text,time,playCountRounded,play_count_reduced,track_title,inputUrl,processed_at
https://facebook.com/reel/1045941261104600/,https://www.facebook.com/reel/1045941261104600,,2026-06-29T15:31:09.000Z,3100,3.1K,Barbeque Nation · Original audio,https://www.facebook.com/BarbequeNation/reels/,30-07-2026 07:08
https://facebook.com/reel/1031388722813974/,https://www.facebook.com/reel/1031388722813974,,2026-06-28T09:42:54.000Z,5700,5.7K,Barbeque Nation · Original audio,https://www.facebook.com/BarbequeNation/reels/,30-07-2026 07:08
https://facebook.com/reel/1747544223091999/,https://www.facebook.com/reel/1747544223091999,,2026-06-27T16:03:18.000Z,9100,9.1K,Barbeque Nation · Original audio,https://www.facebook.com/BarbequeNation/reels/,30-07-2026 07:08
https://facebook.com/reel/2783938095299265/,https://www.facebook.com/reel/2783938095299265,,2026-06-27T13:56:48.000Z,5600,5.6K,Barbeque Nation · Original audio,https://www.facebook.com/BarbequeNation/reels/,30-07-2026 07:08
https://facebook.com/reel/4479201049034444/,https://www.facebook.com/reel/4479201049034444,,2026-06-27T07:09:44.000Z,7200,7.2K,Barbeque Nation · Original audio,https://www.facebook.com/BarbequeNation/reels/,30-07-2026 07:08
https://facebook.com/reel/1029944916208723/,https://www.facebook.com/reel/1029944916208723,,2026-06-26T15:50:37.000Z,6000,6K,Barbeque Nation · Original audio,https://www.facebook.com/BarbequeNation/reels/,30-07-2026 07:08
https://facebook.com/reel/1384943806871962/,https://www.facebook.com/reel/1384943806871962,,2026-06-26T11:16:29.000Z,3800,3.8K,Barbeque Nation · Original audio,https://www.facebook.com/BarbequeNation/reels/,30-07-2026 07:08
https://facebook.com/reel/1554926822631319/,https://www.facebook.com/reel/1554926822631319,,2026-06-26T07:22:39.000Z,2800,2.8K,The_Mountain · Funky Lifestyle,https://www.facebook.com/BarbequeNation/reels/,30-07-2026 07:08
https://facebook.com/reel/1330084589080836/,https://www.facebook.com/reel/1330084589080836,,2026-06-25T08:48:14.000Z,4000,4K,Barbeque Nation · Original audio,https://www.facebook.com/BarbequeNation/reels/,30-07-2026 07:08
https://facebook.com/reel/1760135332006002/,https://www.facebook.com/reel/1760135332006002,,2026-06-24T12:58:36.000Z,2900,2.9K,Barbeque Nation · Original audio,https://www.facebook.com/BarbequeNation/reels/,30-07-2026 07:08
https://facebook.com/reel/1641854670232276/,https://www.facebook.com/reel/1641854670232276,,2026-06-23T12:35:19.000Z,2200,2.2K,Barbeque Nation · Original audio,https://www.facebook.com/BarbequeNation/reels/,30-07-2026 07:08
