title,channelName,viewCount,likes,date,duration,type,url,commentsCount
Delhi Guest experience,Barbeque Nation,672,0,2025-12-18T12:45:34.000Z,0:00:24,shorts,https://www.youtube.com/shorts/obNzmTvdw2g,0
Freedom never tasted so good!,Barbeque Nation,1192693,9,2022-12-13T10:50:50.000Z,0:00:20,video,https://www.youtube.com/watch?v=--QKEQejuRE,4
BBQN Iftar Fest - Ramadan Special,Barbeque Nation,478,9,2024-04-11T12:00:15.000Z,0:01:00,video,https://www.youtube.com/watch?v=qzoC18n39B0,1
Awadhi Viraasat,Barbeque Nation,1331,10,2025-12-02T12:28:53.000Z,0:00:57,shorts,https://www.youtube.com/shorts/hINRKTabDLY,0
Watch Whats Hot Mumbai Relishing Shaan-daar Barbeque at Barbeque-Di-Shaan | Barbeque Nation,Barbeque Nation,609,8,2022-01-04T06:47:26.000Z,0:01:52,video,https://www.youtube.com/watch?v=vQ_alFys1Qs,0
What's your reason to celebrate??,Barbeque Nation,1621,11,2022-12-11T14:22:36.000Z,0:01:20,video,https://www.youtube.com/watch?v=-x8GMVJfjSU,0
When nostalgia hits a sweet spot,Barbeque Nation,1193546,2,2022-12-13T10:38:21.000Z,0:00:20,video,https://www.youtube.com/watch?v=HNlJpNPevKQ,0
Family time toh banta hai,Barbeque Nation,1275216,10,2022-12-11T14:13:07.000Z,0:00:20,video,https://www.youtube.com/watch?v=W0Ef89RfI8M,0
Barbequedishaan,Barbeque Nation,341,10,2021-12-30T05:14:12.000Z,0:01:26,video,https://www.youtube.com/watch?v=fSPDeS3frws,0
Barbequedishaan,Barbeque Nation,444,10,2021-12-31T10:21:19.000Z,0:01:30,video,https://www.youtube.com/watch?v=4mpvrE3TRlQ,0
Atmosfire Catering by Barbeque Nation | Where Every Celebration Becomes an Extraordinary Experience,Barbeque Nation,963,3,2024-12-12T12:55:44.000Z,0:00:15,video,https://www.youtube.com/watch?v=zT8GjpBZiew,0
Barbequedishaan,Barbeque Nation,172,3,2021-12-31T10:18:43.000Z,0:02:40,video,https://www.youtube.com/watch?v=nWg_aDjXpJg,0
Barbequedishaan,Barbeque Nation,319,7,2021-12-31T10:21:51.000Z,0:02:20,video,https://www.youtube.com/watch?v=CVMWl1UyweY,0
"Milne Ki Bhookh, Acchi Bhookh Hai - Grilled Prawns",Barbeque Nation,1483791,4,2026-01-21T10:18:52.000Z,0:00:06,shorts,https://www.youtube.com/shorts/egFQ1zq6gGU,0
Barbequedishaan,Barbeque Nation,279,10,2021-12-30T05:13:42.000Z,0:02:04,video,https://www.youtube.com/watch?v=-1Ckqe3OxOE,0
Hrithik ka Delhi,Barbeque Nation,386,10,2022-07-17T06:20:39.000Z,0:00:21,video,https://www.youtube.com/watch?v=6XlYlNVVV_E,2
Milne Ki Bhookh Acchi Bhookh Hai – Kulfi,Barbeque Nation,50882974,17,2026-02-06T09:50:01.000Z,0:00:30,video,https://www.youtube.com/watch?v=KeNjAq7fOco,1
A foodie Mom’s story | Barbeque Nation,Barbeque Nation,57178735,68,2026-05-06T18:28:01.000Z,0:00:35,video,https://www.youtube.com/watch?v=Usg1GiB8QgI,9
Little big wins matter too,Barbeque Nation,1303240,9,2022-12-13T10:44:22.000Z,0:00:20,video,https://www.youtube.com/watch?v=X0iCLNYHpp4,0
"Milne Ki Bhookh, Acchi Bhookh Hai - Grilled Prawns",Barbeque Nation,59101770,14,2025-12-27T11:20:02.000Z,0:00:30,video,https://www.youtube.com/watch?v=sYLF8mEezbE,1
AndhraUtsavam,Barbeque Nation,358,3,2025-11-26T11:42:54.000Z,0:00:45,shorts,https://www.youtube.com/shorts/fZ9qJl3l5xE,0
Hearing what you crave?,Barbeque Nation,1452,9,2025-03-31T20:03:46.000Z,0:00:03,shorts,https://www.youtube.com/shorts/s77z2xb0GAE,1
Barbequedishaan,Barbeque Nation,417,21,2021-12-26T13:20:56.000Z,0:01:18,video,https://www.youtube.com/watch?v=ARvkw-CynaE,0
Barbequedishaan,Barbeque Nation,174,12,2021-12-27T15:28:41.000Z,0:01:58,video,https://www.youtube.com/watch?v=AWLLPk54XzQ,0
Chirag panjwani at barbeque nation,Barbeque Nation,2379,80,2025-06-03T16:52:41.000Z,0:01:27,shorts,https://www.youtube.com/shorts/NvBVavyiFgM,2
Mona Lisa x Barbeque Nation,Barbeque Nation,831,11,2024-12-28T07:43:13.000Z,0:00:06,shorts,https://www.youtube.com/shorts/rRAw-1G7AAk,0
Merry Christmas from Shaan and Barbeque Nation 🎅🎄 | Barbeque-Di-Shaan,Barbeque Nation,387,16,2021-12-24T19:25:57.000Z,0:00:11,video,https://www.youtube.com/watch?v=9umGlCVRQ8c,0
Barbequedishaan,Barbeque Nation,402,29,2021-12-25T20:17:11.000Z,0:01:54,video,https://www.youtube.com/watch?v=HZ2dOYpuuUw,0
Barbequedishaan,Barbeque Nation,243,25,2021-12-25T20:17:58.000Z,0:02:17,video,https://www.youtube.com/watch?v=OJMAS9XZp58,0
Celebrate with Barbeque Nation,Barbeque Nation,1239,8,2025-03-31T20:02:23.000Z,0:00:12,shorts,https://www.youtube.com/shorts/xLVz9232mI4,1
