record_id,city_name,branch_id,branch_name,package_name,price,min_pax,max_pax,applicable_days,slot_timings,full_address,terms_summary,scraped_at
16,Bangalore,12,Indiranagar,Friendship Deal(4@2599),₹2599,4,100000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Limited Period Offer. Pre-book now to unlock this exclusive deal!,2026-07-30T07:42:16.964Z
17,Bangalore,12,Indiranagar,Friendship Deal(4@3599),₹3599,4,100000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Limited Period Offer. Pre-book now to unlock this exclusive deal!,2026-07-30T07:42:16.964Z
18,Bangalore,12,Indiranagar,Friendship Deal(4@2999),₹2999,4,100000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Limited Period Offer. Pre-book now to unlock this exclusive deal!,2026-07-30T07:42:16.964Z
19,Bangalore,12,Indiranagar,Friendship Deal(4@3999),₹3999,4,100000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Limited Period Offer. Pre-book now to unlock this exclusive deal!,2026-07-30T07:42:16.964Z
20,Bangalore,12,Indiranagar,Friendship Deal(4@3199),₹3199,4,100000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00 AM - 11:58 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Limited Period Offer. Pre-book now to unlock this exclusive deal!,2026-07-30T07:42:16.964Z
21,Bangalore,12,Indiranagar,Mother's day(4@4199),₹4199,3,10000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",10:30 AM - 11:45 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Limited Period Offer. Pre-book now to unlock this exclusive deal!,2026-07-30T07:42:16.964Z
22,Bangalore,12,Indiranagar,Hottest Deal(4@4399),₹4399,4,10000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",10:00 AM - 11:30 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Limited Period Offer. Pre-book now to unlock this exclusive deal!,2026-07-30T07:42:16.964Z
23,Bangalore,12,Indiranagar,Mother's day(4@2499),₹2499,5,1000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00 AM - 11:00 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 5 • ₹500 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
24,Bangalore,12,Indiranagar,Fantastic 4@1899,₹1899,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00 AM - 11:00 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 • ₹475 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
25,Bangalore,12,Indiranagar,Fantastic 4@1599,₹1599,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00 AM - 11:00 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 • ₹400 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
