topLevelReelUrl,shareable_url,time,playCountRounded,play_count_reduced,track_title,play_count_numeric,year,month,weekday,hour,reel_id
https://facebook.com/reel/2783938095299265/,https://www.facebook.com/reel/2783938095299265,2026-06-27 13:56:48+00:00,5600,5.6K,Barbeque Nation · Original audio,5600.0,2026,June,Saturday,13,2783938095299265
https://facebook.com/reel/4479201049034444/,https://www.facebook.com/reel/4479201049034444,2026-06-27 07:09:44+00:00,7200,7.2K,Barbeque Nation · Original audio,7200.0,2026,June,Saturday,7,4479201049034444
https://facebook.com/reel/1029944916208723/,https://www.facebook.com/reel/1029944916208723,2026-06-26 15:50:37+00:00,6000,6K,Barbeque Nation · Original audio,6000.0,2026,June,Friday,15,1029944916208723
https://facebook.com/reel/1384943806871962/,https://www.facebook.com/reel/1384943806871962,2026-06-26 11:16:29+00:00,3800,3.8K,Barbeque Nation · Original audio,3800.0,2026,June,Friday,11,1384943806871962
https://facebook.com/reel/1554926822631319/,https://www.facebook.com/reel/1554926822631319,2026-06-26 07:22:39+00:00,2800,2.8K,The_Mountain · Funky Lifestyle,2800.0,2026,June,Friday,7,1554926822631319
https://facebook.com/reel/1330084589080836/,https://www.facebook.com/reel/1330084589080836,2026-06-25 08:48:14+00:00,4000,4K,Barbeque Nation · Original audio,4000.0,2026,June,Thursday,8,1330084589080836
https://facebook.com/reel/1760135332006002/,https://www.facebook.com/reel/1760135332006002,2026-06-24 12:58:36+00:00,2900,2.9K,Barbeque Nation · Original audio,2900.0,2026,June,Wednesday,12,1760135332006002
https://facebook.com/reel/1641854670232276/,https://www.facebook.com/reel/1641854670232276,2026-06-23 12:35:19+00:00,2200,2.2K,Barbeque Nation · Original audio,2200.0,2026,June,Tuesday,12,1641854670232276
https://facebook.com/reel/926261663814230/,https://www.facebook.com/reel/926261663814230,2026-06-22 06:02:35+00:00,7200,7.2K,Barbeque Nation · Original audio,7200.0,2026,June,Monday,6,926261663814230
https://facebook.com/reel/871332749344250/,https://www.facebook.com/reel/871332749344250,2026-06-21 10:35:11+00:00,2800,2.8K,Barbeque Nation · Original audio,2800.0,2026,June,Sunday,10,871332749344250
https://facebook.com/reel/1338648984906436/,https://www.facebook.com/reel/1338648984906436,2026-06-20 14:33:22+00:00,5000,5K,Unknown,5000.0,2026,June,Saturday,14,1338648984906436
https://facebook.com/reel/27718289207802243/,https://www.facebook.com/reel/27718289207802243,2026-06-18 08:28:12+00:00,8500,8.5K,Barbeque Nation · Original audio,8500.0,2026,June,Thursday,8,27718289207802243
https://facebook.com/reel/1660123288606024/,https://www.facebook.com/reel/1660123288606024,2026-06-18 06:48:02+00:00,5700,5.7K,Barbeque Nation · Original audio,5700.0,2026,June,Thursday,6,1660123288606024
https://facebook.com/reel/1375612207720903/,https://www.facebook.com/reel/1375612207720903,2026-06-17 09:51:39+00:00,5500,5.5K,Barbeque Nation · Original audio,5500.0,2026,June,Wednesday,9,1375612207720903
https://facebook.com/reel/2104313080500038/,https://www.facebook.com/reel/2104313080500038,2026-06-14 15:05:18+00:00,12000,12K,Barbeque Nation · Original audio,12000.0,2026,June,Sunday,15,2104313080500038
https://facebook.com/reel/987202637644397/,https://www.facebook.com/reel/987202637644397,2026-06-14 09:35:33+00:00,7500,7.5K,Barbeque Nation · Original audio,7500.0,2026,June,Sunday,9,987202637644397
https://facebook.com/reel/1664771507907564/,https://www.facebook.com/reel/1664771507907564,2026-06-11 11:47:54+00:00,10000,10K,Barbeque Nation · Original audio,10000.0,2026,June,Thursday,11,1664771507907564
https://facebook.com/reel/984298050848966/,https://www.facebook.com/reel/984298050848966,2026-06-09 16:02:06+00:00,7200,7.2K,Barbeque Nation · Original audio,7200.0,2026,June,Tuesday,16,984298050848966
https://facebook.com/reel/1044780471398285/,https://www.facebook.com/reel/1044780471398285,2026-06-08 06:29:15+00:00,3800,3.8K,Barbeque Nation · Original audio,3800.0,2026,June,Monday,6,1044780471398285
https://facebook.com/reel/1026862416345815/,https://www.facebook.com/reel/1026862416345815,2026-06-07 03:18:56+00:00,5400,5.4K,Barbeque Nation · Original audio,5400.0,2026,June,Sunday,3,1026862416345815
https://facebook.com/reel/1696820421449830/,https://www.facebook.com/reel/1696820421449830,2026-06-01 15:55:55+00:00,4400,4.4K,Barbeque Nation · Original audio,4400.0,2026,June,Monday,15,1696820421449830
https://facebook.com/reel/1036368328905031/,https://www.facebook.com/reel/1036368328905031,2026-05-29 16:17:36+00:00,6700,6.7K,Barbeque Nation · Original audio,6700.0,2026,May,Friday,16,1036368328905031
https://facebook.com/reel/977446628223648/,https://www.facebook.com/reel/977446628223648,2026-05-28 05:20:13+00:00,4900,4.9K,Barbeque Nation · Original audio,4900.0,2026,May,Thursday,5,977446628223648
https://facebook.com/reel/2403517256740454/,https://www.facebook.com/reel/2403517256740454,2026-05-24 10:40:56+00:00,9900,9.9K,Barbeque Nation · Original audio,9900.0,2026,May,Sunday,10,2403517256740454
https://facebook.com/reel/1826639288722059/,https://www.facebook.com/reel/1826639288722059,2026-05-23 11:26:19+00:00,17000,17K,Barbeque Nation · Original audio,17000.0,2026,May,Saturday,11,1826639288722059
https://facebook.com/reel/1489228563215403/,https://www.facebook.com/reel/1489228563215403,2026-05-21 12:34:50+00:00,7700,7.7K,Barbeque Nation · Original audio,7700.0,2026,May,Thursday,12,1489228563215403
https://facebook.com/reel/1164739329116721/,https://www.facebook.com/reel/1164739329116721,2026-05-19 15:17:43+00:00,11000,11K,Barbeque Nation · Original audio,11000.0,2026,May,Tuesday,15,1164739329116721
https://facebook.com/reel/4543578059205802/,https://www.facebook.com/reel/4543578059205802,2026-05-18 11:58:44+00:00,10000,10K,Barbeque Nation · Original audio,10000.0,2026,May,Monday,11,4543578059205802
